# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-11-13 15:39:36 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09421500 COLORADO RV BLW HOOVER DAM, AZ-NV
# -----------------------------------------------------------------------------------
#
# Data provided for site 09421500
#            TS   parameter     statistic     Description
#        102357       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	102357_00060_00003	102357_00060_00003_cd
USGS	09421500	2020-12-16	8060	A
USGS	09421500	2020-12-17	7500	A
USGS	09421500	2020-12-18	6850	A
USGS	09421500	2020-12-19	7280	A
USGS	09421500	2020-12-20	8060	A
USGS	09421500	2020-12-21	9050	A
USGS	09421500	2020-12-22	9210	A
USGS	09421500	2020-12-23	10800	A
USGS	09421500	2020-12-24	8540	A
USGS	09421500	2020-12-25	8190	A
USGS	09421500	2020-12-26	9710	A
USGS	09421500	2020-12-27	10000	A
USGS	09421500	2020-12-28	9060	A
USGS	09421500	2020-12-29	9270	A
USGS	09421500	2020-12-30	9140	A
USGS	09421500	2020-12-31	9800	A
USGS	09421500	2021-01-01	9190	A
USGS	09421500	2021-01-02	10700	A
USGS	09421500	2021-01-03	8290	A
USGS	09421500	2021-01-04	9120	A
USGS	09421500	2021-01-05	9380	A
USGS	09421500	2021-01-06	8600	A
USGS	09421500	2021-01-07	8490	A
USGS	09421500	2021-01-08	7560	A
USGS	09421500	2021-01-09	8370	A
USGS	09421500	2021-01-10	9280	A
USGS	09421500	2021-01-11	9360	A
USGS	09421500	2021-01-12	9470	A
USGS	09421500	2021-01-13	9000	A
USGS	09421500	2021-01-14	8000	A
USGS	09421500	2021-01-15	9030	A
USGS	09421500	2021-01-16	10300	A
USGS	09421500	2021-01-17	10200	A
USGS	09421500	2021-01-18	11000	A
USGS	09421500	2021-01-19	10700	A
USGS	09421500	2021-01-20	9540	A
USGS	09421500	2021-01-21	10800	A
USGS	09421500	2021-01-22	9470	A
USGS	09421500	2021-01-23	10700	A
USGS	09421500	2021-01-24	12000	A
USGS	09421500	2021-01-25	11300	A
USGS	09421500	2021-01-26	10900	A
USGS	09421500	2021-01-27	9230	A
USGS	09421500	2021-01-28	9810	A
USGS	09421500	2021-01-29	9070	A
USGS	09421500	2021-01-30	10100	A
USGS	09421500	2021-01-31	6100	A
USGS	09421500	2021-02-01	5330	A
USGS	09421500	2021-02-02	5940	A
USGS	09421500	2021-02-03	6300	A
USGS	09421500	2021-02-04	6000	A
USGS	09421500	2021-02-05	4850	A
USGS	09421500	2021-02-06	6570	A
USGS	09421500	2021-02-07	10000	A
USGS	09421500	2021-02-08	12300	A
USGS	09421500	2021-02-09	11400	A
USGS	09421500	2021-02-10	10200	A
USGS	09421500	2021-02-11	8180	A
USGS	09421500	2021-02-12	9170	A
USGS	09421500	2021-02-13	11600	A
USGS	09421500	2021-02-14	18500	A
USGS	09421500	2021-02-15	17600	A
USGS	09421500	2021-02-16	17000	A
USGS	09421500	2021-02-17	11700	A
USGS	09421500	2021-02-18	10000	A
USGS	09421500	2021-02-19	11000	A
USGS	09421500	2021-02-20	10700	A
USGS	09421500	2021-02-21	11300	A
USGS	09421500	2021-02-22	12300	A
USGS	09421500	2021-02-23	10900	A
USGS	09421500	2021-02-24	11300	A
USGS	09421500	2021-02-25	11200	A
USGS	09421500	2021-02-26	11600	A
USGS	09421500	2021-02-27	10300	A
USGS	09421500	2021-02-28	14400	A
USGS	09421500	2021-03-01	13200	A
USGS	09421500	2021-03-02	13500	A
USGS	09421500	2021-03-03	14300	A
USGS	09421500	2021-03-04	13900	A
USGS	09421500	2021-03-05	11500	A
USGS	09421500	2021-03-06	12200	A
USGS	09421500	2021-03-07	16000	A
USGS	09421500	2021-03-08	16100	A
USGS	09421500	2021-03-09	17800	A
USGS	09421500	2021-03-10	19200	A
USGS	09421500	2021-03-11	18500	A
USGS	09421500	2021-03-12	15100	A
USGS	09421500	2021-03-13	15100	A
USGS	09421500	2021-03-14	17200	A
USGS	09421500	2021-03-15	17700	A
USGS	09421500	2021-03-16	16800	A
USGS	09421500	2021-03-17	15700	A
USGS	09421500	2021-03-18	16800	A
USGS	09421500	2021-03-19	13100	A
USGS	09421500	2021-03-20	11800	A
USGS	09421500	2021-03-21	16600	A
USGS	09421500	2021-03-22	16700	A
USGS	09421500	2021-03-23	16500	A
USGS	09421500	2021-03-24	18100	A
USGS	09421500	2021-03-25	15900	A
USGS	09421500	2021-03-26	13700	A
USGS	09421500	2021-03-27	13300	A
USGS	09421500	2021-03-28	14300	A
USGS	09421500	2021-03-29	15100	A
USGS	09421500	2021-03-30	16400	A
USGS	09421500	2021-03-31	16700	A
USGS	09421500	2021-04-01	16400	A
USGS	09421500	2021-04-02	15200	A
USGS	09421500	2021-04-03	15700	A
USGS	09421500	2021-04-04	16700	A
USGS	09421500	2021-04-05	16900	A
USGS	09421500	2021-04-06	17100	A
USGS	09421500	2021-04-07	18100	A
USGS	09421500	2021-04-08	17600	A
USGS	09421500	2021-04-09	16000	A
USGS	09421500	2021-04-10	12500	A
USGS	09421500	2021-04-11	17100	A
USGS	09421500	2021-04-12	16000	A
USGS	09421500	2021-04-13	19600	A
USGS	09421500	2021-04-14	18800	A
USGS	09421500	2021-04-15	16900	A
USGS	09421500	2021-04-16	15200	A
USGS	09421500	2021-04-17	13700	A
USGS	09421500	2021-04-18	16100	A
USGS	09421500	2021-04-19	20800	A
USGS	09421500	2021-04-20	21200	A
USGS	09421500	2021-04-21	19500	A
USGS	09421500	2021-04-22	19300	A
USGS	09421500	2021-04-23	20500	A
USGS	09421500	2021-04-24	18600	A
USGS	09421500	2021-04-25	18900	A
USGS	09421500	2021-04-26	17700	A
USGS	09421500	2021-04-27	19300	A
USGS	09421500	2021-04-28	22000	A
USGS	09421500	2021-04-29	22600	A
USGS	09421500	2021-04-30	18300	A
USGS	09421500	2021-05-01	16300	A
USGS	09421500	2021-05-02	19800	A
USGS	09421500	2021-05-03	21600	A
USGS	09421500	2021-05-04	19600	A
USGS	09421500	2021-05-05	20800	A
USGS	09421500	2021-05-06	20600	A
USGS	09421500	2021-05-07	18100	A
USGS	09421500	2021-05-08	14300	A
USGS	09421500	2021-05-09	14100	A
USGS	09421500	2021-05-10	12700	A
USGS	09421500	2021-05-11	15500	A
USGS	09421500	2021-05-12	16300	A
USGS	09421500	2021-05-13	18400	A
USGS	09421500	2021-05-14	15500	A
USGS	09421500	2021-05-15	13400	A
USGS	09421500	2021-05-16	14600	A
USGS	09421500	2021-05-17	16500	A
USGS	09421500	2021-05-18	19200	A
USGS	09421500	2021-05-19	17100	A
USGS	09421500	2021-05-20	17500	A
USGS	09421500	2021-05-21	15400	A
USGS	09421500	2021-05-22	13000	A
USGS	09421500	2021-05-23	20600	A
USGS	09421500	2021-05-24	19700	A
USGS	09421500	2021-05-25	18500	A
USGS	09421500	2021-05-26	21500	A
USGS	09421500	2021-05-27	18900	A
USGS	09421500	2021-05-28	17400	A
USGS	09421500	2021-05-29	16000	A
USGS	09421500	2021-05-30	17000	A
USGS	09421500	2021-05-31	19900	A
USGS	09421500	2021-06-01	20800	A
USGS	09421500	2021-06-02	20800	A
USGS	09421500	2021-06-03	13700	A
USGS	09421500	2021-06-04	12700	A
USGS	09421500	2021-06-05	10000	A
USGS	09421500	2021-06-06	14600	A
USGS	09421500	2021-06-07	13100	A
USGS	09421500	2021-06-08	10700	A
USGS	09421500	2021-06-09	13200	A
USGS	09421500	2021-06-10	17200	A
USGS	09421500	2021-06-11	14600	A
USGS	09421500	2021-06-12	15400	A
USGS	09421500	2021-06-13	16800	A
USGS	09421500	2021-06-14	18200	A
USGS	09421500	2021-06-15	17200	A
USGS	09421500	2021-06-16	18200	A
USGS	09421500	2021-06-17	17200	A
USGS	09421500	2021-06-18	13800	A
USGS	09421500	2021-06-19	12000	A
USGS	09421500	2021-06-20	17300	A
USGS	09421500	2021-06-21	17700	A
USGS	09421500	2021-06-22	14400	A
USGS	09421500	2021-06-23	14600	A
USGS	09421500	2021-06-24	15500	A
USGS	09421500	2021-06-25	14200	A
USGS	09421500	2021-06-26	12800	A
USGS	09421500	2021-06-27	19100	A
USGS	09421500	2021-06-28	19000	A
USGS	09421500	2021-06-29	18700	A
USGS	09421500	2021-06-30	17400	A
USGS	09421500	2021-07-01	15800	A
USGS	09421500	2021-07-02	12100	A
USGS	09421500	2021-07-03	12200	A
USGS	09421500	2021-07-04	11600	A
USGS	09421500	2021-07-05	14300	A
USGS	09421500	2021-07-06	16700	A
USGS	09421500	2021-07-07	16700	A
USGS	09421500	2021-07-08	16700	A
USGS	09421500	2021-07-09	12600	A
USGS	09421500	2021-07-10	11300	A
USGS	09421500	2021-07-11	17200	A
USGS	09421500	2021-07-12	16700	A
USGS	09421500	2021-07-13	14900	A
USGS	09421500	2021-07-14	14300	A
USGS	09421500	2021-07-15	11400	A
USGS	09421500	2021-07-16	9610	A
USGS	09421500	2021-07-17	9250	A
USGS	09421500	2021-07-18	14200	A
USGS	09421500	2021-07-19	16300	A
USGS	09421500	2021-07-20	14900	A
USGS	09421500	2021-07-21	15600	A
USGS	09421500	2021-07-22	13600	A
USGS	09421500	2021-07-23	11200	A
USGS	09421500	2021-07-24	9350	A
USGS	09421500	2021-07-25	12100	A
USGS	09421500	2021-07-26	15700	A
USGS	09421500	2021-07-27	17400	A
USGS	09421500	2021-07-28	17500	A
USGS	09421500	2021-07-29	14900	A
USGS	09421500	2021-07-30	10700	A
USGS	09421500	2021-07-31	8800	A
USGS	09421500	2021-08-01	15100	A
USGS	09421500	2021-08-02	13700	A
USGS	09421500	2021-08-03	16900	A
USGS	09421500	2021-08-04	17300	A
USGS	09421500	2021-08-05	14800	A
USGS	09421500	2021-08-06	10800	A
USGS	09421500	2021-08-07	9430	A
USGS	09421500	2021-08-08	9910	A
USGS	09421500	2021-08-09	11300	A
USGS	09421500	2021-08-10	13200	A
USGS	09421500	2021-08-11	14200	A
USGS	09421500	2021-08-12	14700	A
USGS	09421500	2021-08-13	12300	A
USGS	09421500	2021-08-14	10700	A
USGS	09421500	2021-08-15	14100	A
USGS	09421500	2021-08-16	14000	A
USGS	09421500	2021-08-17	12900	A
USGS	09421500	2021-08-18	11700	A
USGS	09421500	2021-08-19	11700	A
USGS	09421500	2021-08-20	9670	A
USGS	09421500	2021-08-21	9750	A
USGS	09421500	2021-08-22	8050	A
USGS	09421500	2021-08-23	5710	A
USGS	09421500	2021-08-24	12000	A
USGS	09421500	2021-08-25	15000	A
USGS	09421500	2021-08-26	18100	A
USGS	09421500	2021-08-27	13600	A
USGS	09421500	2021-08-28	10000	A
USGS	09421500	2021-08-29	13400	A
USGS	09421500	2021-08-30	13300	A
USGS	09421500	2021-08-31	9700	A
USGS	09421500	2021-09-01	11500	A
USGS	09421500	2021-09-02	11900	A
USGS	09421500	2021-09-03	9570	A
USGS	09421500	2021-09-04	12800	A
USGS	09421500	2021-09-05	11300	A
USGS	09421500	2021-09-06	13100	A
USGS	09421500	2021-09-07	11300	A
USGS	09421500	2021-09-08	13700	A
USGS	09421500	2021-09-09	11200	A
USGS	09421500	2021-09-10	9020	A
USGS	09421500	2021-09-11	8050	A
USGS	09421500	2021-09-12	13600	A
USGS	09421500	2021-09-13	10800	P
